Wavelength,EBFP2 (EX),EBFP2 (EM),EYFP (EX),EYFP (EM),T-Sapphire (EX),T-Sapphire (EM),CFP (Tsien) (AB),CFP (Tsien) (EM),mCitrine (AB),mCitrine (EM),mRFP1.4m (AB),mRFP1.4m (EM),EGFPm (Tsien) (AB),EGFPm (Tsien) (EM),mCherry (AB),mCherry (EM),mOrange (AB),mOrange (EM),DsRed (EX),DsRed (EM),E2-Crimson (EX),E2-Crimson (EM),NirFP (AB),NirFP (EM)
250,,,,,,,,,,,0.636384,,,,,,,,,,,,,
251,,,,,,,,,,,0.662014,,,,,,,,,,,,,
252,,,,,,,,,,,0.689881,,,,,,,,,,,,,
253,,,,,,,,,,,0.718108,,,,,,,,,,,,,
254,,,,,,,,,,,0.749714,,,,,,,,,,,,,
255,,,,,,,,,,,0.780083,,,,,,,,,,,,,
256,,,,,,,,,,,0.814094,,,,,,,,,,,,,
257,,,,,,,,,,,0.847974,,,,,,,,,,,,,
258,,,,,,,,,,,0.880804,,,,,,,,,,,,,
259,,,,,,,,,,,0.909987,,,,,,,,,,,,,
260,,,,,,,,,,,0.927706,,,,,,,,,,,,,
261,,,,,,,,,,,0.941241,,,,,,,,,,,,,
262,,,,,,,,,,,0.947871,,,,,,,,,,,,,
263,,,,,,,,,,,0.949206,,,,,,,,,,,,,
264,,,,,,,,,,,0.948957,,,,,,,,,,,,,
265,,,,,,,,,,,0.944905,,,,,,,,,,,,,
266,,,,,,,,,,,0.938716,,,,,,,,,,,,,
267,,,,,,,,,,,0.929797,,,,,,,,,,,,,
268,,,,,,,,,,,0.925196,,,,,,,,,,,,,
269,,,,,,,,,,,0.919679,,,,,,,,,,,,,
270,,,,,,,,,,,0.915637,,,,,,,,,,,,,
271,,,,,,,,,,,0.912346,,,,,,,,,,,,,
272,,,,,,,,,,,0.915638,,,,,,,,,,,,,
273,,,,,,,,,,,0.922207,,,,,,,,,,,,,
274,,,,,,,,,,,0.92986,,,,,,,,,,,,,
275,,,,,,,,,,,0.937042,,,,,,,,,,,,,
276,,,,,,,,,,,0.940274,,,,,,,,,,,,,
277,,,,,,,,,,,0.940072,,,,,,,,,,,,,
278,,,,,,,,,,,0.937213,,,,,,,,,,,,,
279,,,,,,,,,,,0.928615,,,,,,,,,,,,,
280,,,,,,,,,,,0.918049,,,,,,,,,,,,,
281,,,,,,,,,,,0.909008,,,,,,,,,,,,,
282,,,,,,,,,,,0.904508,,,,,,,,,,,,,
283,,,,,,,,,,,0.898123,,,,,,,,,,,,,
284,,,,,,,,,,,0.882243,,,,,,,,,,,,,
285,,,,,,,,,,,0.843726,,,,,,,,,,,,,
286,,,,,,,,,,,0.787724,,,,,,,,,,,,,
287,,,,,,,,,,,0.724095,,,,,,,,,,,,,
288,,,,,,,,,,,0.667711,,,,,,,,,,,,,
289,,,,,,,,,,,0.62954,,,,,,,,,,,,,
290,,,,,,,,,,,0.602992,,,,,,,,,,,,,
291,,,,,,,,,,,0.581067,,,,,,,,,,,,,
292,,,,,,,,,,,0.549721,,,,,,,,,,,,,
293,,,,,,,,,,,0.511152,,,,,,,,,,,,,
294,,,,,,,,,,,0.467221,,,,,,,,,,,,,
295,,,,,,,,,,,0.42553,,,,,,,,,,,,,
296,,,,,,,,,,,0.386787,,,,,,,,,,,,,
297,,,,,,,,,,,0.351846,,,,,,,,,,,,,
298,,,,,,,,,,,0.322191,,,,,,,,,,,,,
299,,,,,,,,,,,0.296315,,,,,,,,,,,,,
